Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.128348,0.128906,0.128348,0.128348,0.100326,469033600
1980-12-15,0.122210,0.126674,0.112723,0.126116,0.098581,490134400
1980-12-22,0.132254,0.159040,0.132254,0.158482,0.123880,187891200
1980-12-29,0.160714,0.161272,0.152344,0.154018,0.120391,219452800
1981-01-05,0.151228,0.151228,0.135045,0.142299,0.111231,197904000
1981-01-12,0.142299,0.142299,0.136161,0.138393,0.108178,88502400
1981-01-19,0.146763,0.147879,0.142299,0.146205,0.114284,134332800
1981-01-26,0.144531,0.144531,0.126116,0.126116,0.098581,166588800
1981-02-02,0.119420,0.128906,0.118862,0.128348,0.100326,92579200
1981-02-09,0.122768,0.122768,0.113839,0.113839,0.088984,74659200
1981-02-16,0.116629,0.122768,0.108259,0.108259,0.084623,78198400
1981-02-23,0.109933,0.119420,0.106027,0.118304,0.092475,76182400
1981-03-02,0.118862,0.119420,0.114397,0.114397,0.089421,58620800
1981-03-09,0.106027,0.106027,0.096540,0.099330,0.077643,364112000
1981-03-16,0.103237,0.116071,0.103237,0.114955,0.089857,170329600
1981-03-23,0.119420,0.120536,0.110491,0.110491,0.086367,81760000
1981-03-30,0.110491,0.118862,0.108259,0.118304,0.092475,107856000
1981-04-06,0.116629,0.125000,0.114955,0.124442,0.097272,101404800
1981-04-13,0.124442,0.125000,0.111607,0.111607,0.087240,80640000
1981-04-20,0.114955,0.131138,0.114955,0.129464,0.101198,175952000
1981-04-27,0.128906,0.128906,0.124442,0.126674,0.099017,113523200
1981-05-04,0.126674,0.126674,0.122210,0.125000,0.097709,68208000
1981-05-11,0.122768,0.124442,0.119978,0.122768,0.095964,30934400
1981-05-18,0.125000,0.141183,0.122768,0.140067,0.109486,106512000
1981-05-25,0.140067,0.148438,0.139509,0.147879,0.115592,368211200
1981-06-01,0.147879,0.148438,0.140625,0.141183,0.110358,244876800
1981-06-08,0.136719,0.147321,0.136161,0.145089,0.113412,303094400
1981-06-15,0.145089,0.145089,0.135045,0.135045,0.105560,259145600
1981-06-22,0.130580,0.133371,0.128906,0.130022,0.101634,96947200
1981-06-29,0.126674,0.126674,0.114955,0.114955,0.089857,247251200
1981-07-06,0.112165,0.117188,0.099330,0.099330,0.077643,137043200
1981-07-13,0.101563,0.116071,0.101563,0.115513,0.090293,111529600
1981-07-20,0.108259,0.108259,0.101004,0.107143,0.083750,141568000
1981-07-27,0.111607,0.112165,0.106027,0.111607,0.087240,76540800
1981-08-03,0.111607,0.116071,0.110491,0.112723,0.088112,81334400
1981-08-10,0.112723,0.112723,0.102121,0.102121,0.079825,149408000
1981-08-17,0.099888,0.099888,0.089844,0.089844,0.070228,115606400
1981-08-24,0.084821,0.090402,0.084263,0.089844,0.070228,161324800
1981-08-31,0.089844,0.097656,0.089844,0.090960,0.071101,150080000
1981-09-07,0.088728,0.089286,0.087612,0.087612,0.068484,108326400
1981-09-14,0.085379,0.085379,0.078683,0.079241,0.061940,112246400
1981-09-21,0.079799,0.080357,0.063616,0.063616,0.049727,177564800
1981-09-28,0.064174,0.074219,0.064174,0.073661,0.057579,342585600
1981-10-05,0.075893,0.084263,0.075335,0.083147,0.064993,195910400
1981-10-12,0.085938,0.087054,0.080915,0.081473,0.063685,168425600
1981-10-19,0.083147,0.088170,0.083147,0.084821,0.066302,193401600
1981-10-26,0.084821,0.089844,0.084821,0.089286,0.069792,240262400
1981-11-02,0.089286,0.089844,0.079799,0.080357,0.062813,137065600
1981-11-09,0.081473,0.087612,0.080915,0.080915,0.063249,125507200
1981-11-16,0.080357,0.085379,0.079799,0.084821,0.066302,165222400
1981-11-23,0.082031,0.084821,0.080357,0.084263,0.065866,134915200
1981-11-30,0.083705,0.085379,0.082589,0.084821,0.066302,242502400
1981-12-07,0.085379,0.085938,0.083705,0.083705,0.065430,257689600
1981-12-14,0.082031,0.102679,0.080915,0.102121,0.079825,245190400
1981-12-21,0.098214,0.099888,0.097098,0.097656,0.076335,168044800
1981-12-28,0.094308,0.099330,0.093192,0.098772,0.077207,147660800
1982-01-04,0.098772,0.098772,0.084821,0.088728,0.069356,299824000
1982-01-11,0.083705,0.090402,0.079799,0.089286,0.069792,207424000
1982-01-18,0.090960,0.093192,0.088728,0.092634,0.072409,166924800
1982-01-25,0.090402,0.091518,0.086496,0.090960,0.071101,190041600
1982-02-01,0.090960,0.091518,0.088170,0.088170,0.068920,186614400
1982-02-08,0.083147,0.084263,0.082589,0.083705,0.065430,172569600
1982-02-15,0.082589,0.084821,0.082031,0.083705,0.065430,101875200
1982-02-22,0.083147,0.083147,0.081473,0.081473,0.063685,147347200
1982-03-01,0.082031,0.082589,0.074219,0.074219,0.058015,177452800
1982-03-08,0.073661,0.074219,0.068080,0.068080,0.053216,243712000
1982-03-15,0.068080,0.074777,0.063058,0.074219,0.058015,271152000
1982-03-22,0.079799,0.080357,0.072545,0.072545,0.056706,311651200
1982-03-29,0.074219,0.079799,0.074219,0.079241,0.061940,339651200
1982-04-05,0.079241,0.079799,0.077567,0.078125,0.061068,211321600
1982-04-12,0.078125,0.078683,0.071429,0.075335,0.058887,511526400
1982-04-19,0.074777,0.074777,0.068638,0.068638,0.053652,295747200
1982-04-26,0.070313,0.070871,0.065290,0.065848,0.051471,587059200
1982-05-03,0.068080,0.073103,0.068080,0.072545,0.056706,370809600
1982-05-10,0.071987,0.071987,0.065290,0.065290,0.051035,355824000
1982-05-17,0.064732,0.064732,0.062500,0.063616,0.049727,339987200
1982-05-24,0.064174,0.064732,0.062500,0.062500,0.048854,177273600
1982-05-31,0.061942,0.063058,0.058594,0.058594,0.045801,157942400
1982-06-07,0.058594,0.060268,0.056920,0.059710,0.046673,191452800
1982-06-14,0.059710,0.060268,0.057478,0.057478,0.044929,155971200
1982-06-21,0.057478,0.062500,0.057478,0.059152,0.046237,169680000
1982-06-28,0.059152,0.059152,0.053571,0.053571,0.041875,242435200
1982-07-05,0.051897,0.051897,0.049107,0.050781,0.039694,410816000
1982-07-12,0.051897,0.059710,0.051897,0.059152,0.046237,391686400
1982-07-19,0.059710,0.064732,0.059710,0.063058,0.049290,258697600
1982-07-26,0.060826,0.060826,0.057478,0.060268,0.047110,243174400
1982-08-02,0.061942,0.062500,0.054688,0.054688,0.042748,434716800
1982-08-09,0.055246,0.059710,0.055246,0.058594,0.045801,294828800
1982-08-16,0.059710,0.066406,0.059710,0.065848,0.051471,313689600
1982-08-23,0.068638,0.079799,0.068638,0.075335,0.058887,891766400
1982-08-30,0.076451,0.082589,0.076451,0.082031,0.064121,483526400
1982-09-06,0.078125,0.081473,0.077567,0.080915,0.063249,273369600
1982-09-13,0.081473,0.084821,0.079241,0.079241,0.061940,366553600
1982-09-20,0.079799,0.084263,0.079799,0.080915,0.063249,497190400
1982-09-27,0.080915,0.083705,0.080915,0.082589,0.064557,310172800
1982-10-04,0.082589,0.105469,0.080357,0.104911,0.082006,910313600
1982-10-11,0.104911,0.110491,0.101004,0.102679,0.080261,1094800000
1982-10-18,0.102679,0.119420,0.102679,0.115513,0.090293,848489600
1982-10-25,0.115513,0.116071,0.103795,0.113281,0.088548,879648000
1982-11-01,0.113281,0.142299,0.112165,0.134487,0.105124,1120918400
1982-11-08,0.134487,0.151786,0.128348,0.144531,0.112975,756022400
1982-11-15,0.144531,0.146205,0.133371,0.137835,0.107741,700739200
1982-11-22,0.137835,0.137835,0.125558,0.129464,0.101198,365478400
1982-11-29,0.129464,0.150670,0.125000,0.141741,0.110795,628297600
1982-12-06,0.141741,0.155692,0.128906,0.130580,0.102070,788323200
1982-12-13,0.129464,0.135603,0.123326,0.134487,0.105124,718121600
1982-12-20,0.134487,0.142857,0.131696,0.142857,0.111667,337926400
1982-12-27,0.142857,0.150670,0.132254,0.133371,0.104252,462470400
1983-01-03,0.133371,0.136161,0.122768,0.122768,0.095964,747936000
1983-01-10,0.122768,0.147321,0.121652,0.147321,0.115156,720630400
1983-01-17,0.147321,0.174107,0.145089,0.166853,0.130424,1734745600
1983-01-24,0.166853,0.187500,0.154576,0.183036,0.143074,1187715200
1983-01-31,0.183036,0.202567,0.179129,0.196429,0.153542,1132902400
1983-02-07,0.196429,0.210938,0.181920,0.207589,0.162266,932108800
1983-02-14,0.207589,0.208147,0.190290,0.202567,0.158340,608988800
1983-02-21,0.203683,0.217076,0.203683,0.208705,0.163138,535001600
1983-02-28,0.208705,0.210938,0.193080,0.199219,0.155723,661852800
1983-03-07,0.199219,0.199777,0.184710,0.189174,0.147871,773024000
1983-03-14,0.188616,0.194196,0.179129,0.191964,0.150052,488185600
1983-03-21,0.191964,0.201451,0.188616,0.192522,0.150488,506307200
1983-03-28,0.191964,0.198661,0.186384,0.188616,0.147435,351254400
1983-04-04,0.188616,0.188616,0.172433,0.175781,0.137403,759248000
1983-04-11,0.175781,0.205915,0.172991,0.204241,0.159649,845667200
1983-04-18,0.205357,0.235491,0.205357,0.227679,0.177970,1035014400
1983-04-25,0.227679,0.229353,0.215960,0.225446,0.176224,698902400
1983-05-02,0.225446,0.248884,0.212612,0.246094,0.192364,572835200
1983-05-09,0.246094,0.247210,0.233817,0.237165,0.185384,323724800
1983-05-16,0.237165,0.254464,0.228237,0.253906,0.198470,596937600
1983-05-23,0.253906,0.272321,0.248884,0.265067,0.207195,545372800
1983-05-30,0.264509,0.275112,0.252790,0.273996,0.214174,287593600
1983-06-06,0.273996,0.282366,0.260603,0.264509,0.206758,378537600
1983-06-13,0.264509,0.265067,0.237723,0.250558,0.195853,722086400
1983-06-20,0.250558,0.252232,0.233817,0.237723,0.185821,587641600
1983-06-27,0.237723,0.237723,0.204241,0.219866,0.171862,1049417600
1983-07-04,0.219866,0.220424,0.205357,0.206473,0.161394,337590400
1983-07-11,0.206473,0.215402,0.196987,0.198103,0.154851,459984000
1983-07-18,0.198103,0.207031,0.181920,0.195313,0.152670,991468800
1983-07-25,0.195313,0.195313,0.151228,0.155692,0.121699,1136531200
1983-08-01,0.155692,0.162388,0.141741,0.151228,0.118210,881462400
1983-08-08,0.151228,0.155692,0.147879,0.149554,0.116902,553974400
1983-08-15,0.149554,0.155134,0.146205,0.150670,0.117774,478419200
1983-08-22,0.150670,0.152344,0.133929,0.137835,0.107741,575209600
1983-08-29,0.137835,0.171875,0.133929,0.169643,0.132605,919945600
1983-09-05,0.172991,0.177455,0.136161,0.136719,0.106869,1086288000
1983-09-12,0.136719,0.146205,0.130022,0.131138,0.102506,1036604800
1983-09-19,0.131138,0.149554,0.099330,0.108259,0.084623,3511222400
1983-09-26,0.108817,0.115513,0.098772,0.103237,0.080697,1960022400
1983-10-03,0.103237,0.106027,0.089844,0.090960,0.071101,992454400
1983-10-10,0.089844,0.107143,0.082031,0.101563,0.079389,1942281600
1983-10-17,0.101563,0.101563,0.084263,0.088728,0.069356,1178172800
1983-10-24,0.088728,0.097656,0.079799,0.093192,0.072845,735795200
1983-10-31,0.094308,0.107701,0.093750,0.094308,0.073718,1136777600
1983-11-07,0.094308,0.096540,0.077009,0.089286,0.069792,2065212800
1983-11-14,0.089286,0.093192,0.084821,0.092076,0.071973,499475200
1983-11-21,0.092076,0.097098,0.089286,0.091518,0.071537,361849600
1983-11-28,0.091518,0.095982,0.088170,0.088728,0.069356,394060800
1983-12-05,0.088728,0.098772,0.088170,0.096540,0.075462,406694400
1983-12-12,0.096540,0.111607,0.093750,0.110491,0.086367,966044800
1983-12-19,0.110491,0.111607,0.102679,0.109933,0.085931,702240000
1983-12-26,0.109933,0.112723,0.108259,0.108817,0.085059,419596800
1984-01-02,0.108817,0.129464,0.108817,0.123884,0.096836,917011200
1984-01-09,0.123884,0.127232,0.113281,0.121652,0.095092,795961600
1984-01-16,0.121652,0.131696,0.121094,0.127790,0.099889,798224000
1984-01-23,0.127790,0.130022,0.114397,0.116629,0.091165,1225056000
1984-01-30,0.116629,0.118862,0.103237,0.109375,0.085495,1066083200
1984-02-06,0.109375,0.111607,0.099888,0.108817,0.085059,910268800
1984-02-13,0.108817,0.119420,0.106585,0.111607,0.087240,755507200
1984-02-20,0.111607,0.123326,0.111049,0.121094,0.094655,576531200
1984-02-27,0.121094,0.125000,0.112165,0.121652,0.095092,749145600
1984-03-05,0.121652,0.122210,0.112165,0.117746,0.092038,465001600
1984-03-12,0.118304,0.123884,0.117746,0.118862,0.092911,517507200
1984-03-19,0.118304,0.119420,0.111607,0.113839,0.088984,343100800
1984-03-26,0.113839,0.116629,0.109375,0.110491,0.086367,316668800
1984-04-02,0.110491,0.112723,0.102679,0.104911,0.082006,374841600
1984-04-09,0.104911,0.117746,0.104911,0.114955,0.089857,363753600
1984-04-16,0.114955,0.126674,0.112165,0.126116,0.098581,724147200
1984-04-23,0.126116,0.137277,0.122210,0.134487,0.105124,1460816000
1984-04-30,0.134487,0.149554,0.133371,0.134487,0.105124,1604848000
1984-05-07,0.134487,0.153460,0.133371,0.143973,0.112539,1256438400
1984-05-14,0.143415,0.143415,0.128348,0.132813,0.103816,887129600
1984-05-21,0.132813,0.143973,0.128906,0.131696,0.102943,1218694400
1984-05-28,0.131696,0.135603,0.125000,0.135603,0.105997,884016000
1984-06-04,0.135603,0.137277,0.123884,0.127790,0.099889,849699200
1984-06-11,0.127790,0.133371,0.126116,0.129464,0.101198,507830400
1984-06-18,0.129464,0.136719,0.126674,0.127790,0.099889,621577600
1984-06-25,0.127790,0.128906,0.108259,0.118304,0.092475,953724800
1984-07-02,0.118304,0.118862,0.108259,0.112165,0.087676,527564800
1984-07-09,0.112165,0.121652,0.110491,0.117746,0.092038,788704000
1984-07-16,0.117746,0.117746,0.111607,0.113281,0.088548,502947200
1984-07-23,0.113281,0.123326,0.109375,0.121094,0.094655,691017600
1984-07-30,0.121094,0.122768,0.107143,0.122210,0.095528,1532137600
1984-08-06,0.122210,0.137835,0.121652,0.127232,0.099453,1908681600
1984-08-13,0.127232,0.135045,0.121094,0.122768,0.095964,893155200
1984-08-20,0.122768,0.130580,0.118862,0.125558,0.098145,692720000
1984-08-27,0.125558,0.126674,0.116629,0.118304,0.092475,409763200
1984-09-03,0.118304,0.119978,0.116071,0.118304,0.092475,437830400
1984-09-10,0.118304,0.127232,0.115513,0.124442,0.097272,804339200
1984-09-17,0.127790,0.129464,0.118304,0.119978,0.093783,562352000
1984-09-24,0.119978,0.121652,0.109933,0.112165,0.087676,696102400
1984-10-01,0.111607,0.114397,0.109375,0.111049,0.086804,559507200
1984-10-08,0.111049,0.111607,0.100446,0.101563,0.079389,985644800
1984-10-15,0.107143,0.122210,0.106585,0.114397,0.089421,1091216000
1984-10-22,0.114397,0.118304,0.109375,0.109933,0.085931,741216000
1984-10-29,0.110491,0.112723,0.110491,0.111049,0.086804,260198400
1984-11-05,0.111049,0.117746,0.102679,0.103795,0.081133,944496000
1984-11-12,0.107701,0.109933,0.103237,0.103795,0.081133,616627200
1984-11-19,0.103795,0.107701,0.097656,0.106027,0.082878,812044800
1984-11-26,0.107143,0.118304,0.107143,0.110491,0.086367,922163200
1984-12-03,0.110491,0.126674,0.108817,0.121652,0.095092,1293084800
1984-12-10,0.121652,0.121652,0.113839,0.117746,0.092038,508323200
1984-12-17,0.120536,0.128348,0.119420,0.120536,0.094219,1047043200
1984-12-24,0.122768,0.128906,0.122768,0.128348,0.100326,398809600
1984-12-31,0.130022,0.130580,0.124442,0.126674,0.099017,686940800
1985-01-07,0.126674,0.135045,0.125000,0.132813,0.103816,960870400
1985-01-14,0.136719,0.138951,0.125000,0.127790,0.099889,1625478400
1985-01-21,0.130580,0.135045,0.126674,0.132254,0.103379,1896294400
1985-01-28,0.135045,0.136719,0.126674,0.127790,0.099889,1542329600
1985-02-04,0.130580,0.135603,0.130580,0.133371,0.104252,980000000
1985-02-11,0.136161,0.137277,0.122210,0.125000,0.097709,1700944000
1985-02-18,0.124442,0.124442,0.117746,0.123326,0.096400,904556800
1985-02-25,0.123326,0.123884,0.107143,0.111049,0.086804,1257580800
1985-03-04,0.112723,0.116071,0.092634,0.095982,0.075026,1685017600
1985-03-11,0.099330,0.103795,0.096540,0.101004,0.078952,1179584000
1985-03-18,0.102121,0.103237,0.098214,0.099330,0.077643,944025600
1985-03-25,0.099330,0.101563,0.096540,0.098772,0.077207,559529600
1985-04-01,0.098772,0.101004,0.092076,0.093192,0.072845,746009600
1985-04-08,0.093192,0.098214,0.087612,0.093192,0.072845,908745600
1985-04-15,0.095424,0.102679,0.095424,0.100446,0.078516,549180800
1985-04-22,0.100446,0.101004,0.096540,0.097656,0.076335,507158400
1985-04-29,0.097656,0.098214,0.085938,0.089286,0.069792,702172800
1985-05-06,0.089286,0.091518,0.088170,0.090402,0.070664,571289600
1985-05-13,0.090402,0.098772,0.088170,0.097098,0.075898,781804800
1985-05-20,0.097098,0.099330,0.080915,0.080915,0.063249,1298931200
1985-05-27,0.079799,0.080357,0.075335,0.077567,0.060632,1441865600
1985-06-03,0.075893,0.079241,0.071429,0.073103,0.057142,2010780800
